tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,Player1_entry,Player1_name,Player1_hand,Player1_ht,Player1_ioc,Player1_age,score,best_of,round,minutes,Player2_id,Player2_seed,Player2_entry,Player2_name,Player2_hand,Player2_ht,Player2_ioc,Player2_age,Player1_id,Player1_seed,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,Player2_rank,Player2_rank_points,Player1_rank,Player1_rank_points,y
2017-M006,Indian Wells Masters,Hard,128,M,20170306,283,,Albert Ramos,L,188.0,ESP,29.1,7-6(3) 6-4,3,R32,98.0,105676,11.0,,David Goffin,R,180.0,BEL,26.2,105077,22.0,9.0,2.0,77.0,46.0,34.0,16.0,11.0,5.0,7.0,6.0,1.0,62.0,39.0,24.0,15.0,11.0,1.0,4.0,12.0,3245.0,24.0,1640.0,0
2020-9158,Cordoba,Clay,32,A,20200203,272,,Andrej Martin,R,180.0,SVK,30.3,7-6(5) 6-4,3,R32,128.0,105948,,,Federico Coria,R,180.0,ARG,27.9,105413,,0.0,1.0,95.0,71.0,47.0,9.0,11.0,7.0,10.0,0.0,4.0,94.0,69.0,41.0,12.0,11.0,10.0,14.0,116.0,466.0,100.0,551.0,1
2021-9510,Parma,Clay,32,A,20210524,296,,Tommy Paul,R,185.0,USA,24.0,6-2 6-4,3,QF,74.0,105526,4.0,,Jan Lennard Struff,R,193.0,GER,31.0,126205,6.0,1.0,1.0,47.0,30.0,26.0,10.0,9.0,0.0,0.0,5.0,3.0,59.0,36.0,25.0,9.0,9.0,3.0,6.0,42.0,1500.0,55.0,1155.0,1
2021-0337,Vienna,Hard,32,A,20211025,290,,Jannik Sinner,R,188.0,ITA,20.1,6-4 6-2,3,R16,76.0,110602,,WC,Dennis Novak,R,183.0,AUT,28.1,206173,7.0,2.0,3.0,59.0,37.0,28.0,12.0,9.0,6.0,6.0,3.0,1.0,47.0,29.0,21.0,8.0,9.0,2.0,5.0,116.0,681.0,11.0,3260.0,1
2017-0421,Canada Masters,Hard,64,M,20170807,243,Q,Thomas Fabbiano,R,173.0,ITA,28.1,6-3 7-5,3,R64,85.0,105992,,,Ryan Harrison,R,183.0,USA,25.2,105341,,8.0,1.0,74.0,41.0,27.0,19.0,11.0,7.0,8.0,2.0,3.0,57.0,43.0,27.0,7.0,10.0,1.0,4.0,44.0,1018.0,91.0,597.0,0
2019-560,US Open,Hard,128,G,20190826,150,,Aljaz Bedene,R,181.0,SLO,30.1,6-3 6-4 7-5,5,R128,137.0,106075,,,Jozef Kovalik,R,183.0,SVK,26.8,105379,,19.0,3.0,91.0,51.0,41.0,20.0,15.0,4.0,6.0,8.0,4.0,107.0,57.0,30.0,27.0,16.0,5.0,11.0,362.0,102.0,80.0,685.0,1
2016-M009,Rome Masters,Clay,64,M,20160509,251,,Fabio Fognini,R,178.0,ITA,28.9,6-1 7-6(2),3,R64,98.0,104198,,,Guillermo Garcia Lopez,R,188.0,ESP,32.9,104926,,3.0,1.0,66.0,40.0,31.0,15.0,10.0,5.0,6.0,4.0,5.0,69.0,33.0,25.0,14.0,9.0,5.0,8.0,51.0,910.0,31.0,1285.0,0
2018-M-DC-2018-WG-PO-SUI-SWE-01,Davis Cup WG PO: SUI vs SWE,Hard,4,D,20180914,5,,Jonathan Mridha,R,183.0,SWE,23.4,4-6 6-3 6-4 7-6(4),5,RR,167.0,105757,,,Sandro Ehrat,R,180.0,SUI,27.3,111197,,10.0,6.0,122.0,74.0,59.0,31.0,21.0,1.0,2.0,4.0,0.0,125.0,72.0,55.0,30.0,20.0,5.0,7.0,1211.0,5.0,1094.0,8.0,1
2020-560,Us Open,Hard,128,G,20200831,204,,Matteo Berrettini,R,196.0,ITA,24.3,6-4 6-4 6-2,5,R32,123.0,134770,30.0,,Casper Ruud,R,183.0,NOR,21.6,126610,6.0,13.0,4.0,88.0,53.0,45.0,19.0,14.0,5.0,5.0,2.0,3.0,86.0,54.0,37.0,16.0,14.0,6.0,10.0,37.0,1279.0,8.0,2940.0,1
2017-M035,Washington,Hard,64,A,20170731,259,Q,Edan Leshem,U,183.0,ISR,20.3,7-6(1) 6-0,3,R64,103.0,104571,,,Marcos Baghdatis,R,183.0,CYP,32.1,122548,,6.0,2.0,57.0,34.0,28.0,15.0,9.0,0.0,0.0,5.0,2.0,62.0,41.0,24.0,12.0,9.0,2.0,5.0,77.0,645.0,278.0,178.0,0
